song_x,year_x,artist_x,genre_x,video_length,scene_count,frame_count,mot_int_mean,mot_int_std,lighting_met,light_mean,sat_met,sat_mean,col_en,colness,most_predominant_topic
our-love,2014,caribou,Electronic,333,4,8006,0.06871271,0.046507004,-1014065.344,66.94066534,-1532027.423,196.1689576,inf,11.0887928,topic_6
saving-my-life,2015,gorgon-city,Electronic,228,173,5494,0.260310583,0.126587539,-118360.8222,80.28124276,-1158625.31,172.6103911,559.5990309,27.51694286,topic_23
all-i-need,1998,air,Electronic,275,38,8253,0.060836943,0.072269203,-157002.8367,63.28629055,-1127462.08,187.0901856,1354.921579,19.45112546,topic_27
season-song,2002,blue-states,Electronic,253,2,7601,0.003831033,0.016620919,576412.2923,46.61894879,-1465037.8,112.5694964,249.2560191,54.63713573,topic_16
real-love,2020,clean-bandit,Electronic,246,98,6170,0.105078347,0.098980857,-2145868.374,70.48818212,-1038902.855,162.3616675,2422.665718,30.66606339,topic_14
the-magic-friend,2014,2-unlimited,Electronic,224,102,5613,0.193395533,0.152988058,419650.3877,120.4312828,777975.6059,188.4726638,514.758726,65.425591,topic_16
the-days,2014,avicii,Electronic,247,25,6176,0.096046263,0.075776506,1713433.099,78.6660565,-1756829.103,172.0248029,655.0882423,9.593801548,topic_29
faces,2014,2-unlimited,Electronic,210,126,6309,0.237534463,0.095614618,42827.08908,108.0213374,-70985.41179,160.5114476,419.0451461,63.15633017,topic_14
washington-square,2011,the-correspondents,Electronic,289,2,7245,0.097375613,0.083078072,329771.0835,51.90254998,3805.298137,254.394568,52425.1941,0.250671254,topic_5
play-hard,2011,david-guetta,Electronic,241,141,5797,0.138602786,0.060411984,-333034.0202,87.1593951,-708705.9588,131.8385433,311.3204135,36.40687862,topic_6
beautiful-life,2013,armin-van-buuren,Electronic,252,110,6053,0.157511243,0.111181862,-910.3114158,70.23077851,-1107175.652,121.6692819,222.2819598,28.46448992,topic_12
train,2003,goldfrapp,Electronic,248,151,6225,0.202251207,0.110507174,-502985.2916,119.7310021,289421.9788,176.1127006,587.5413496,45.82063761,topic_29
everybody-needs-a-303,1996,fatboy-slim,Electronic,230,4,5754,0.021809693,0.028271928,333414.633,67.92248194,-1250874.756,220.0290403,354.3879533,4.511811236,topic_7
boing-clash-boom,2013,dada-life,Electronic,185,93,4462,0.122812497,0.060636954,-263613.5128,60.9416033,-1419523.253,100.2910544,152.3708588,27.90942379,topic_16
ooh-la-la,2005,goldfrapp,Electronic,200,91,5001,0.162167228,0.070101985,274943.031,62.48802062,-1186951.677,100.8790022,180.576629,24.5872337,topic_24
big-bad-wolf,2015,duck-sauce,Electronic,183,119,4395,0.140216248,0.069549003,-840237.4787,60.48449614,-1507100.532,143.9411252,293.6521597,17.04541859,topic_1
knock-you-out,2014,bingo-players,Electronic,178,77,4274,0.143900778,0.082536756,-548625.3708,61.18957887,-1540081.694,143.2902502,267.5045593,16.90301122,topic_12
go-all-night,2014,gorgon-city,Electronic,230,181,5541,0.184339063,0.144166646,-947802.0162,87.09632931,-154093.1428,182.9213794,719.720171,29.9541437,topic_0
move,2008,css,Electronic,210,152,5265,0.18469491,0.079204243,493531.9607,86.59466186,-637564.4013,90.17440674,,44.67411906,topic_20
left-behind,2008,css,Electronic,212,49,6380,0.145839799,0.099823008,746572.5086,111.6379066,-591910.1672,223.944898,1490.471093,13.71877627,topic_24
gyal-you-a-party-animal,2016,charly-black,Electronic,226,196,5651,0.184502765,0.11525998,-566052.3583,98.95214626,122453.2569,172.8019319,360.1777536,30.02198285,topic_6
world-hold-on,2006,bob-sinclar,Electronic,217,46,5444,0.084985492,0.041743764,-372703.5678,94.17308837,572296.7772,139.995182,242.5146614,54.51156215,topic_3
dem-gone,2002,gentleman,Electronic,247,80,6182,0.061499437,0.03316792,-869831.8695,92.50637724,737437.1271,166.5755659,332.9520475,34.10180198,topic_15
got-well-soon,2013,breton,Electronic,293,115,7343,0.099357719,0.089748431,-764514.3895,81.59105714,-773565.2124,157.5728295,inf,29.35455709,topic_7
